name,time,tweet
Akinkuadedare19,Fri Sep 07 16:11:26 +0000 2018,"""Don't ask if your dreams are crazy, ask if you're crazy enough to bring them into reality.""
#JustDoIt https://t.co/KDAC7wXFWk"
THOUARTLLC,Fri Sep 07 16:11:16 +0000 2018,All Protest Do Not Lead to Progess... When You Protest Alone &amp; Willing to Stand Strong as One For All; Your Efforts Will Continue To Rise When People want to see You Fall! #History #Kapernick #JustDoIt @Nike @nikefootball @OWNTV @TheEllenShow @BETNews #BeYou #livelaughlove #Smile https://t.co/ehJN5nF0Om
AlexSarife,Fri Sep 07 16:11:15 +0000 2018,Who wouldn't want Watson on their team! Imagine having that competitive edge in the business world. Watson on your team = a lot more GREEN. #JustDoIt #MoreMoney #LessProblems #AI #Watson https://t.co/rujJnkEV7r
KimberlyOlson2,Fri Sep 07 16:11:13 +0000 2018,@nike My new dry for golf shorts have FULL POCKETS in front and back! #Iaminlove #nike.com  #ColinKaepernick #JustDoIt #NikeBoycott #NikeAd #nike
p8rlynch,Fri Sep 07 16:10:41 +0000 2018,@RealJamesWoods The #ThinBlueLine is far more important than the asinine Don't #JustDoIt campaign.
elizmopi,Fri Sep 07 16:10:30 +0000 2018,"@realDonaldTrump I met a new friend in the park this morning. What a great way to meet good people...wearing your Nike gear! Thanks, @Nike @nikestore #JustDoIt #TakeAKnee https://t.co/d9X79Br6KS"
pops_drennan,Fri Sep 07 16:10:26 +0000 2018,"@CoryBooker Sen. Booker, I know you may not read this because your Twitter I’m sure blows up all the time. But it’s because of men and women like you that continue to give Americans hope. Never give up the fight, you are fighting for millions of people #justdoit"
Day1Radio,Fri Sep 07 16:10:19 +0000 2018,Listen as BP and Reese discuss the #Nike x #ColinKaepernick #justdoit campaign. Can commerce and activism coexist? https://t.co/U09dd0xaYQ
madriannorman,Fri Sep 07 16:10:16 +0000 2018,"This week, while Nike was using money earned from slave labor to pay whiny athletes supposedly protesting ""social justice...""

...Kim Kardashian had ANOTHER White House meeting in an effort to enact policy changes in criminal justice. 

See the difference?

#justdoit"
ValuedVote,Fri Sep 07 16:10:10 +0000 2018,"School shooting? Thoughts and prayers.

Oh, but a protesting brown guy…

#Nike #JustDoIt https://t.co/mrrTaHQzVX"
TauKamfinsa,Fri Sep 07 16:10:04 +0000 2018,Exactly! #justdoit https://t.co/554DGG9K7x
ValenciaDTGC,Fri Sep 07 16:10:02 +0000 2018,"You can’t figure out the next step until you take this one.  A Valenciaism to live by. 🤔😉
#JustDoIt #Motivation #FridayMotivation #FridayFeeling #BlessedNotStressed"
AGodlyDream,Fri Sep 07 16:10:02 +0000 2018,Basically. #JustDoIt. #Nike https://t.co/13vGiZQmni
curlygalindo,Fri Sep 07 16:09:31 +0000 2018,I love this! Thank you @Nike and @Kaepernick7 #JustDoIt https://t.co/ZqZtIIBbaX
defiantadp,Fri Sep 07 16:09:28 +0000 2018,@HiMyNameIsSeton I want them to run ad on Fox and friends and Hannity to watch president shit himself. #JustDoIt #Nike
